"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.062467292E0,-1.868115234E-1,6.960525513E-2,9.722881165E0
4.072518292E0,-1.898052979E-1,6.706054688E-2,9.725425873E0
4.082569292E0,-1.883084106E-1,5.583389282E-2,9.729766846E0
4.092620292E0,-1.782792664E-1,5.957611084E-2,9.724078674E0
4.102671292E0,-1.764830017E-1,5.074447632E-2,9.728569336E0
4.112722292E0,-1.829196167E-1,5.478607178E-2,9.734706573E0
4.122773292E0,-1.790277100E-1,5.792953491E-2,9.730664978E0
4.132824292E0,-1.895059204E-1,6.346801758E-2,9.733808441E0
4.142875292E0,-1.818717957E-1,6.526428223E-2,9.730964355E0
4.152926292E0,-1.769320679E-1,6.780899048E-2,9.729168091E0
4.162977292E0,-1.829196167E-1,7.080276489E-2,9.732161865E0
4.173028292E0,-1.790277100E-1,7.649093628E-2,9.728569336E0
4.183079292E0,-1.811233521E-1,7.664062500E-2,9.727072449E0
4.193130292E0,-1.797761536E-1,7.319778442E-2,9.723330231E0
4.203181292E0,-1.868115234E-1,7.364685059E-2,9.728719025E0
4.213232292E0,-1.782792664E-1,6.885681152E-2,9.730664978E0
4.223283292E0,-1.815724182E-1,6.571334839E-2,9.731413422E0
4.233334292E0,-1.848655701E-1,6.256988525E-2,9.726773071E0
4.243385292E0,-1.817221069E-1,6.676116943E-2,9.726324005E0
4.253436292E0,-1.814227295E-1,6.511459351E-2,9.726922760E0
4.263487292E0,-1.856140137E-1,6.361770630E-2,9.733209686E0
4.273538292E0,-1.842668152E-1,6.451583862E-2,9.731712799E0
4.283589292E0,-1.871109009E-1,7.035369873E-2,9.724078674E0
4.293640292E0,-1.779798889E-1,6.092330933E-2,9.732610931E0
4.303691292E0,-1.865121460E-1,6.676116943E-2,9.735455017E0
4.313742292E0,-1.803749084E-1,5.957611084E-2,9.728120270E0
4.323793292E0,-1.790277100E-1,6.556365967E-2,9.733658752E0
4.333844292E0,-1.749861145E-1,6.631210327E-2,9.728419647E0
4.343895292E0,-1.838177490E-1,6.361770630E-2,9.728269958E0
4.353946292E0,-1.740879822E-1,6.556365967E-2,9.730515289E0
4.363997292E0,-1.734892273E-1,6.256988525E-2,9.724827118E0
4.374049292E0,-1.772314453E-1,6.601272583E-2,9.729766846E0
4.384099292E0,-1.782792664E-1,5.957611084E-2,9.726473694E0
4.394151292E0,-1.812730408E-1,6.197113037E-2,9.720486145E0
4.404201917E0,-1.862127686E-1,6.885681152E-2,9.732910309E0
4.414252917E0,-1.742376709E-1,6.930587769E-2,9.729916534E0
4.424303917E0,-1.793270874E-1,6.451583862E-2,9.720635834E0
4.434354917E0,-1.829196167E-1,6.900650024E-2,9.723479919E0
4.444405917E0,-1.880090332E-1,7.170089722E-2,9.737101593E0
4.454456917E0,-1.839674377E-1,6.571334839E-2,9.740095367E0
4.464507917E0,-1.770817566E-1,6.750961304E-2,9.740544434E0
4.474558917E0,-1.746867371E-1,6.391708374E-2,9.725126495E0
4.484609917E0,-1.826202393E-1,6.586303711E-2,9.740095367E0
4.494660917E0,-1.835183716E-1,6.466552734E-2,9.723330231E0
4.504711917E0,-1.784289551E-1,7.005432129E-2,9.724378052E0
4.514762917E0,-1.821711731E-1,7.110214233E-2,9.733509064E0
4.524813917E0,-1.869612122E-1,6.331832886E-2,9.735455017E0
4.534864917E0,-1.890568542E-1,7.529342651E-2,9.728868713E0
4.544915917E0,-1.733395386E-1,6.511459351E-2,9.728269958E0
4.554966917E0,-1.802252197E-1,6.661148071E-2,9.731114044E0
4.565017917E0,-1.773811340E-1,6.242019653E-2,9.724378052E0
4.575068917E0,-1.725910950E-1,6.286926270E-2,9.717791748E0
4.585119917E0,-1.773811340E-1,6.122268677E-2,9.727671204E0
4.595170917E0,-1.850152588E-1,6.047424316E-2,9.732461243E0
4.605221917E0,-1.812730408E-1,6.975494385E-2,9.723330231E0
4.615272917E0,-1.727407837E-1,7.170089722E-2,9.727970581E0
4.625323917E0,-1.805245972E-1,6.691085815E-2,9.735005951E0
4.635374917E0,-1.667532349E-1,6.586303711E-2,9.728269958E0
4.645425917E0,-1.781295776E-1,6.107299805E-2,9.726024628E0
4.655476917E0,-1.857637024E-1,6.481521606E-2,9.727820892E0
4.665527917E0,-1.854643250E-1,6.152206421E-2,9.736652527E0
4.675578917E0,-1.883084106E-1,6.526428223E-2,9.730814667E0
4.685629917E0,-1.844165039E-1,6.631210327E-2,9.725126495E0
4.695680917E0,-1.826202393E-1,5.942642212E-2,9.723928986E0
4.705731917E0,-1.784289551E-1,5.718109131E-2,9.732461243E0
4.715782917E0,-1.790277100E-1,6.361770630E-2,9.686207428E0
4.725833917E0,-1.517843628E-1,4.071533203E-2,9.745633850E0
4.735884917E0,-1.234931946E-1,3.697311401E-2,9.735155640E0
4.745935917E0,-1.594184875E-1,4.640350342E-2,9.733059998E0
4.755986917E0,-2.248324585E-1,4.445755005E-2,9.739945679E0
4.766037917E0,-2.779719543E-1,5.703140259E-2,9.723629608E0
4.776088917E0,-2.827619934E-1,9.400451660E-2,9.726324005E0
4.786139917E0,-2.404000854E-1,1.341210938E-1,9.739047546E0
4.796190917E0,-1.697470093E-1,1.504371643E-1,9.748028870E0
4.806241917E0,-8.921447754E-2,1.576222229E-1,9.739945679E0
4.816292917E0,-8.711883545E-2,9.879455566E-2,9.683962097E0
