"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.963909167E-1,-2.335144043E-1,1.719025269E0,1.022059616E1
9.064419167E-1,-5.483097839E-1,2.360291748E0,8.283324738E0
9.164929167E-1,8.906478882E-2,1.517993317E0,1.193423264E1
9.265439167E-1,5.487588501E-1,2.438429260E0,8.570577393E0
9.365949167E-1,3.273692322E-1,1.734592896E0,9.314230957E0
9.466459167E-1,4.002676392E-1,1.795665894E0,1.046369064E1
9.566969167E-1,-1.287322998E-2,2.416724396E0,9.424850922E0
9.667479167E-1,-2.387535095E-1,5.002597046E-1,1.003917343E1
9.767989167E-1,5.354365540E-1,1.341210938E0,1.038345749E1
9.868509167E-1,1.167572021E-2,1.744771729E0,8.792715454E0
9.969019167E-1,-1.472937012E-1,8.424481201E-1,1.049048492E1
1.006952917E0,3.580554199E-1,1.629212036E0,8.804540863E0
1.017003917E0,-4.596940613E-1,7.470964050E-1,1.094434113E1
1.027054917E0,1.022373962E-1,1.191971283E0,9.531578979E0
1.037105917E0,-2.685415649E-1,1.739832001E0,9.514065399E0
1.047156917E0,-5.122348022E-1,1.128652954E0,9.818981323E0
1.057207917E0,-5.822891235E-2,1.356030121E0,1.013347733E1
1.067258917E0,-2.228865051E-1,1.853146362E0,8.295299835E0
1.077309917E0,-4.665797424E-1,6.186634827E-1,1.108519821E1
1.087360917E0,-1.989363098E-1,4.230203247E-1,9.328301697E0
1.097411917E0,3.062631226E-1,7.542814636E-1,9.128317566E0
1.107462917E0,3.769161987E-1,2.046244812E-1,1.142618912E1
1.117513917E0,-3.562591553E-2,2.061962128E0,8.494236145E0
1.127564917E0,-6.691085815E-2,-1.838177490E-1,8.304131470E0
1.137615917E0,5.640270996E-1,1.787882080E0,1.063942520E1
1.147666917E0,6.442602539E-1,-2.757266235E-1,1.139445511E1
1.157717917E0,-2.395019531E-3,3.173849945E0,7.759863281E0
1.167768917E0,-1.266815643E0,-1.666035461E-1,9.775122528E0
1.177819917E0,-1.039288788E0,1.918260956E0,1.003198837E1
1.187870917E0,-1.433119812E0,1.892664185E0,1.071666458E1
1.197921917E0,-1.202150116E0,1.445543976E0,9.246421967E0
1.207972917E0,-1.151555328E0,1.481169891E0,1.056308395E1
1.218023917E0,-2.266287231E-1,2.794838104E0,8.672216034E0
1.228075917E0,1.212478638E-2,1.095122681E0,1.149489624E1
1.238126917E0,-1.351689148E-1,1.176553345E0,9.025631104E0
1.248177917E0,3.275189209E-1,1.948947144E0,1.071367081E1
1.258228917E0,1.456471252E-1,5.192701721E-1,1.046114594E1
1.268279917E0,4.936734009E-1,2.481389923E0,7.478149109E0
1.278330917E0,9.487271118E-1,9.496252441E-1,1.012569351E1
1.288381917E0,2.496358795E0,-1.345701599E-1,1.024439667E1
1.298432917E0,-5.239105225E-2,6.697073364E-1,6.686595154E0
1.308483917E0,2.044448547E0,2.025887146E0,1.078552139E1
1.318534917E0,1.271455994E0,-8.637039185E-2,9.933942261E0
1.328585917E0,-3.836521912E-1,2.683170319E0,9.538464661E0
1.338636917E0,5.689668274E-1,7.188052368E-1,9.032816162E0
1.348687917E0,7.373666382E-1,1.284029846E0,1.141271713E1
1.358738917E0,4.415817261E-2,7.442523193E-1,8.746162262E0
1.368789917E0,4.918771362E-1,1.698667603E0,1.107082809E1
1.378840917E0,7.943980408E-1,7.487429810E-1,1.076770844E1
1.388891917E0,1.415456543E0,1.995200958E0,8.903784485E0
1.398943167E0,1.201401672E0,1.370849304E0,8.682095490E0
1.408994167E0,1.378932495E0,8.271798706E-1,1.026490402E1
1.419045167E0,1.782044220E0,1.366208954E0,9.025182037E0
1.429096167E0,2.487078094E0,1.625469818E0,1.011925690E1
1.439147167E0,1.841919708E0,1.270857239E0,9.905950470E0
1.449198167E0,5.203179932E-1,2.900967407E0,3.379971313E0
1.459249167E0,2.590962067E0,4.587959290E-1,1.549547699E1
