"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.776014292E0,7.352791727E-5,3.888644278E-4,-2.577024326E-2
3.786065292E0,2.641880419E-3,-1.148045994E-3,-2.693164907E-2
3.796116292E0,-1.167007256E-3,3.812629730E-4,-2.891014516E-2
3.806167292E0,-1.217341051E-3,-1.206779853E-3,-3.001535684E-2
3.816218292E0,5.394858308E-4,6.082244217E-4,-2.585401759E-2
3.826269292E0,3.701089881E-4,1.739801839E-3,-2.886339091E-2
3.836320292E0,-7.880255580E-4,-7.130950689E-5,-2.745561861E-2
3.846371292E0,-1.200549304E-3,4.836935550E-4,-2.681992203E-2
3.856422292E0,-8.782441728E-4,3.563333303E-4,-2.355157770E-2
3.866473292E0,-1.184774097E-3,7.616821676E-5,-1.751871966E-2
3.876524292E0,3.896793351E-4,-5.407016724E-4,-1.542569418E-2
3.886575292E0,-2.466294682E-3,-2.846732736E-3,-1.271353103E-2
3.896626292E0,1.747338567E-3,1.267605461E-3,-8.684560657E-3
3.906677292E0,2.051019110E-4,2.778416499E-3,-3.423752263E-3
3.916728292E0,1.243885607E-3,3.080032766E-4,-3.699933179E-3
3.926780292E0,7.506678812E-4,-1.829716377E-3,-1.089502592E-3
3.936831292E0,-7.992424071E-5,7.429402322E-4,1.068133162E-3
3.946882292E0,-5.190796219E-4,-1.258425415E-3,2.849521581E-3
3.956933292E0,1.115208026E-3,6.661545485E-4,1.346280333E-3
3.966984292E0,-1.788702561E-3,3.548301756E-4,2.045892878E-3
3.977035292E0,-1.611276530E-3,-2.955701202E-4,3.812689101E-4
3.987086292E0,8.223201148E-4,7.960591465E-4,2.985041589E-3
3.997137292E0,3.843675368E-4,-8.236328140E-4,3.160680179E-3
4.007188292E0,7.703853771E-5,-2.060448751E-4,1.100192661E-3
4.017239292E0,-2.983640879E-4,-2.342273481E-3,-9.895418771E-4
4.027290292E0,1.849741675E-3,-1.026937738E-3,1.893862616E-3
4.037341292E0,1.319300383E-3,1.077699475E-3,-4.967403365E-4
4.047392292E0,-8.948515169E-4,-1.199036837E-3,-3.356190864E-4
4.057443292E0,2.212949563E-3,-2.346836962E-3,-5.066005979E-4
4.067494292E0,8.840323426E-4,1.508621499E-3,-4.797026049E-4
4.077545292E0,-1.520809252E-3,-8.537061512E-5,-4.181716125E-3
4.087596292E0,7.988042198E-4,6.619123742E-4,-1.121396199E-4
4.097647292E0,8.519133553E-5,1.644145697E-3,6.606695242E-4
4.107698292E0,-2.160918433E-3,7.525198162E-4,-7.446806412E-4
4.117749292E0,-1.731664408E-3,-1.306680031E-3,6.506068166E-4
4.127800292E0,-2.176575363E-4,-7.005445659E-4,9.416902903E-4
4.137851292E0,-1.579551026E-4,8.348096162E-4,-5.979404086E-4
4.147902292E0,-2.299669199E-3,-9.793359786E-4,2.977885772E-3
4.157953292E0,5.789683200E-4,1.134192571E-4,4.655407974E-4
4.168004292E0,-5.874964409E-4,1.678292640E-3,-5.749561824E-4
4.178055292E0,1.064169686E-3,-1.598848030E-4,-1.857881900E-3
4.188106292E0,2.490825020E-3,-2.495476976E-3,4.859662149E-4
4.198157292E0,-1.924531534E-5,1.504361629E-3,-1.987833064E-3
4.208208292E0,-1.034975052E-3,2.307304181E-3,-7.886115927E-4
4.218259292E0,-4.829280078E-4,-8.281031623E-4,-2.155813854E-4
4.228310292E0,1.812982839E-3,9.596766904E-4,-9.793760255E-4
4.238361292E0,-2.758957911E-3,2.892505378E-3,-1.728946110E-3
4.248412292E0,-1.712069148E-3,3.466662019E-5,5.118376575E-4
4.258463292E0,-2.700002864E-3,-4.317546263E-4,1.016350929E-3
4.268514292E0,2.235633321E-3,-9.220419452E-4,-1.648674253E-3
4.278565292E0,-5.579618737E-4,1.305626705E-3,5.855683703E-4
4.288616292E0,1.185875852E-3,-1.383899711E-3,6.846380420E-4
4.298667292E0,1.932639629E-3,-1.887921244E-4,-4.606139846E-4
4.308718292E0,-1.897252398E-3,2.847744152E-3,4.054459278E-4
4.318769292E0,-1.004389022E-3,9.803008288E-4,1.682361471E-3
4.328820292E0,-7.130391896E-4,7.081255317E-4,-5.491012707E-4
4.338871292E0,2.149366774E-4,1.289835200E-4,-3.813313786E-3
4.348922292E0,1.855443697E-3,1.920225099E-3,-1.671130303E-5
4.358973292E0,3.002760001E-3,-2.973061055E-5,-2.609159565E-3
4.369025292E0,1.051728614E-3,2.534094267E-3,2.976669930E-5
4.379075292E0,1.763170585E-4,1.142177731E-3,-9.866586188E-4
4.389127292E0,-1.488546841E-4,-2.107145265E-3,-6.476382259E-4
4.399177917E0,2.373056486E-5,-1.015592366E-3,-1.051051309E-3
4.409228917E0,-2.219716320E-3,1.056080684E-3,1.554585528E-3
4.419279917E0,-1.997202635E-3,-1.064624637E-3,1.197666046E-3
4.429330917E0,-1.820102567E-3,7.790820673E-4,-9.195469902E-4
4.439381917E0,5.915150978E-4,9.850552306E-4,2.591620432E-3
4.449432917E0,-1.850070897E-3,8.620172739E-4,-4.624063149E-5
4.459483917E0,6.464552134E-4,1.414939761E-4,-6.752071204E-4
4.469534917E0,2.675517928E-3,-1.787966117E-3,-2.243276220E-3
4.479585917E0,8.958270773E-4,1.740696840E-3,8.466853760E-4
4.489636917E0,2.952842042E-4,-1.052426174E-3,-7.157911314E-4
4.499687917E0,-1.741508255E-3,-2.027321607E-4,-3.747564042E-4
4.509738917E0,1.045223325E-3,1.265468076E-3,1.000851626E-4
4.519789917E0,-1.528244466E-4,-2.151913941E-5,-6.506129866E-4
4.529840917E0,-1.757112565E-3,1.103399321E-3,-7.691236679E-4
4.539891917E0,6.783106364E-4,1.995442435E-4,-1.741516870E-3
4.549942917E0,-1.007736661E-3,-4.870183766E-4,-1.083183452E-3
4.559993917E0,-2.631944837E-3,1.553212292E-3,3.128612880E-4
4.570044917E0,2.387048211E-3,-1.026858576E-3,-1.173981698E-3
4.580095917E0,-1.221238170E-3,9.500458837E-4,1.362686628E-3
4.590146917E0,1.446856186E-5,-6.941892207E-4,-2.111140871E-3
4.600197917E0,-9.240955114E-5,-6.803190336E-4,1.253549592E-3
4.610248917E0,3.291689791E-4,6.107818335E-4,-2.013882622E-3
4.620299917E0,1.938312314E-3,-4.896624014E-4,-1.323710778E-3
4.630350917E0,-9.408309124E-4,3.585591912E-7,-1.102135750E-3
4.640401917E0,-4.570923746E-3,-1.850100234E-4,-2.231128747E-4
4.650452917E0,3.703054972E-4,-8.044606075E-4,3.566299099E-3
4.660503917E0,-6.950218230E-4,1.678504050E-4,-8.041190449E-5
4.670554917E0,4.202798009E-3,-6.489409134E-4,3.947352991E-3
4.680605917E0,2.362459432E-3,2.227909863E-5,-2.904919675E-4
4.690656917E0,2.997091506E-3,-6.304616109E-4,-1.463348046E-3
4.700707917E0,-1.063752919E-3,-2.397764474E-4,-3.205977846E-4
4.710758917E0,-2.458716510E-3,4.556310363E-3,-1.178668346E-3
4.720809917E0,-5.502323620E-4,3.243236803E-3,-1.040991629E-3
4.730860917E0,-1.509236638E-3,3.574350849E-4,-1.903855824E-3
4.740911917E0,-3.933923785E-3,-3.190133721E-4,-5.396722117E-4
4.750962917E0,6.983787753E-4,-1.297725365E-3,8.214694681E-4
4.761013917E0,-1.381002367E-4,-1.061673276E-3,3.206247464E-3
4.771064917E0,-1.228131820E-3,1.815872267E-3,2.514091786E-3
4.781115917E0,-9.806547314E-5,5.937088281E-4,6.050515920E-3
4.791166917E0,5.541429855E-4,-2.933115698E-3,2.303980989E-3
4.801217917E0,1.836264506E-3,-2.718441188E-3,3.903566860E-3
4.811268917E0,8.077519014E-4,-1.234527677E-3,-2.601204207E-3
