"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.066184583E-1,-4.820905052E-1,2.583190240E0,7.753752941E-1,2.739797423E0
6.166694583E-1,-1.289499039E0,4.253978318E0,5.115144253E-1,4.474459332E0
6.267214583E-1,-1.806469648E0,3.694807039E0,-1.887488814E0,4.525212223E0
6.367724583E-1,-7.324205516E-1,3.919810236E0,9.453023976E-1,4.098164074E0
6.468234583E-1,-9.629506101E-1,3.671896771E0,-4.816702366E-1,3.826500489E0
6.568754583E-1,-4.474116924E-1,4.183196311E0,-5.801461190E-1,4.246866859E0
6.669264583E-1,3.966276743E-1,3.148282118E0,9.017915118E-1,3.298821264E0
6.769784583E-1,6.489022853E-1,3.542988762E0,-1.110894960E-1,3.603634890E0
6.870294583E-1,1.079335856E0,3.153550459E0,3.901578033E-1,3.355900699E0
6.970814583E-1,1.969937186E-1,4.504402870E0,2.217524377E0,5.024526456E0
7.071324583E-1,-4.875518777E-1,1.774325164E0,-2.544135225E0,3.139834496E0
7.171834583E-1,5.400822399E-1,4.990053014E0,6.152586490E-1,5.056763898E0
7.272354583E-1,6.059394298E-1,2.208459000E0,2.375600928E-1,2.302365858E0
7.372864583E-1,1.488698090E-1,4.029884363E0,-2.392902839E0,4.689148558E0
7.473384583E-1,-6.302917673E-1,4.040388886E0,1.017856404E0,4.214029155E0
7.573894583E-1,-7.260041825E-2,3.498990511E0,-8.850626278E-1,3.609922613E0
7.674414583E-1,-9.366441330E-1,4.870699356E0,5.863587856E-3,4.959944438E0
7.774924583E-1,-2.113663391E-1,3.611185715E0,-1.319580333E0,3.850536359E0
7.875434583E-1,-1.028758172E0,4.846517026E0,6.920624113E-1,5.002601427E0
7.975954583E-1,-5.319628328E-1,4.809726053E0,-3.415504843E-1,4.851093268E0
8.076464583E-1,-3.848353022E-1,3.999134733E0,1.711219820E0,4.366858149E0
8.176984583E-1,2.238612908E-2,3.963811703E0,-1.135994718E0,4.123443750E0
8.277494583E-1,3.589979363E-2,2.879648167E0,-6.713656068E-1,2.957092176E0
